text,labels
Hôm nay tôi rất vui vì đạt kết quả cao trong kỳ thi,joy
Tôi cảm thấy hạnh phúc khi ở bên gia đình,joy
Cuộc sống thật đẹp và đầy hy vọng,joy
Tôi cười suốt cả ngày hôm nay,joy
Nhận được tin tốt làm tôi rất phấn khởi,joy
Tôi buồn vì kết quả không như mong đợi,sadness
Cảm giác cô đơn khiến tôi rất buồn,sadness
Tôi thấy trống rỗng và mệt mỏi,sadness
Chia tay khiến tôi đau lòng,sadness
Tôi nhớ những ngày xưa cũ,sadness
Tôi rất tức giận vì bị đối xử bất công,anger
Cơn giận khiến tôi không kiểm soát được bản thân,anger
Tôi bực bội vì mọi việc liên tục trục trặc,anger
Anh ta làm tôi nổi điên,anger
Tôi cảm thấy bị xúc phạm nghiêm trọng,anger
Tôi sợ phải nói trước đám đông,fear
Bóng tối làm tôi cảm thấy sợ hãi,fear
Tôi lo sợ điều xấu sẽ xảy ra,fear
Tiếng động lớn khiến tôi giật mình,fear
Tôi sợ bị thất bại,fear
Tôi luôn cảm thấy lo lắng về tương lai,anxiety
Áp lực công việc khiến tôi căng thẳng,anxiety
Tôi không thể ngủ vì suy nghĩ quá nhiều,anxiety
Tôi hồi hộp trước buổi phỏng vấn,anxiety
Tôi hay lo xa dù chưa có chuyện gì xảy ra,anxiety
Hôm nay là một ngày bình thường,neutral
Tôi đi làm lúc 8 giờ sáng,neutral
Thời tiết hôm nay khá mát,neutral
Tôi vừa uống một ly cà phê,neutral
Cuộc họp kết thúc lúc 3 giờ chiều,neutral
Tôi đang đọc một cuốn sách,neutral
Tôi ăn cơm trưa tại văn phòng,neutral
Tôi mở máy tính và bắt đầu làm việc,neutral
Hôm nay không có gì đặc biệt,neutral
Tôi về nhà sau giờ làm,neutral
Tôi nghe nhạc trước khi ngủ,neutral
Tôi kiểm tra email buổi sáng,neutral
Tôi ghi chú lại công việc cần làm,neutral
Tôi dọn dẹp bàn làm việc,neutral
Tôi chuẩn bị tài liệu cho ngày mai,neutral
